"date","close","volume","open","high","low"
"2016/05/26","119.4700","18437640.0000","118.2400","119.7601","117.9200"
"2016/05/25","117.8900","20026150.0000","118.1300","118.6650","117.3800"
"2016/05/24","117.7000","20156400.0000","116.2400","117.7300","116.1200"
"2016/05/23","115.9700","20409860.0000","117.4200","117.6000","115.9400"
"2016/05/20","117.3500","18893950.0000","116.9600","117.9900","116.9500"
"2016/05/19","116.8100","20510770.0000","117.0500","117.4900","115.8800"
"2016/05/18","117.6500","21596120.0000","116.8000","118.2700","116.7300"
"2016/05/17","117.3500","21296660.0000","118.8200","119.0100","117.2000"
"2016/05/16","118.6700","31188070.0000","119.3800","119.6100","117.3500"
"2016/05/13","119.8100","18077540.0000","120.3800","120.6400","119.6800"
"2016/05/12","120.2800","21649010.0000","119.9800","120.8400","118.9000"
"2016/05/11","119.5200","21976560.0000","120.4100","121.0800","119.4200"
